Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)|Latitud|Longitud
  Sinaloa No. 179 Roma Norte, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|21000|2|2.0|70|19.4198868|-99.1720176
  Golfo De San Jorge 37 Tacuba Miguel Hidalgo, Tacuba, Miguel Hidalgo, Distrito Federal (cdmx)|12000|2|2.0|69|19.454627600000002|-99.18631440000001
  Lomas De Sotelo 1120, Edificio C, Lomas De Sotelo, Miguel Hidalgo, Distrito Federal (cdmx)|14300|3|2.0|110|19.4459977|-99.2163303
  Culiacan 1, Ph, Hipódromo Condesa, Cuauhtémoc, Distrito Federal (cdmx)|38000|2|3.0|143|19.4085807|-99.1714436
  José María Rico 118, Actipan, Benito Juárez, Distrito Federal (cdmx)|24000|2|3.0|120|19.3688957|-99.17803020000001
  Av. Coyoacán 635, Del Valle, Benito Juárez, Distrito Federal (cdmx)|26000|4|2.0|140|19.3883617|-99.16696280000001
  Andrea Del Castagno 79, Mixcoac, Benito Juárez, Distrito Federal (cdmx)|24200|2|2.0|87|19.3836295|-99.191079
  Sur 109, Iztacalco, Distrito Federal (cdmx)|10000|2|1.0|100|19.379658300000003|-99.12794240000001
  Paseo De La Reforma 0, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)|90000|1|2.0|120|19.4382486|-99.1457945
  Lago Neuchatel 10, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|29200|3|2.0|125|19.4423271|-99.2016516
  Avenida San Miguel 40, Xalpa, Ciudad De México|8500|2|2.0|100|19.332842000000003|-99.0320843
  Uxmal 00, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|85|19.372230300000002|-99.1587114
  Calzada San Isidro 492 San Pedro Xalpa, Azcapotzalco, Cdmx, San Pedro Xalpa, Azcapotzalco, Distrito Federal (cdmx)|11500|3|2.0|90|19.4841904|-99.2065419
  Popocatepetl 00, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|86|19.3642068|-99.1607909
  Lago Zurich 168, 0, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|26000|2|2.0|100|19.4448159|-99.2026389
  Sierra Gorda 23, Torre Encinos - G3, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|116430|3|3.0|352|19.4279636|-99.221941
  Guanábana 10, Nueva Santa Maria, Azcapotzalco, Distrito Federal (cdmx)|10500|2|1.0|75|19.4593296|-99.1691353
  Calle10, San Pedro De Los Pinos, Benito Juárez, Distrito Federal (cdmx)|25000|2|2.0|90|19.3893443|-99.18854559999998
  Etla 10, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|35000|3|2.0|140|19.406477600000002|-99.1751463
  Avenida Centenario 2025, Distrito Federal (cdmx)|19000|2|2.0|3,183|19.4984052|-99.09578459999999
  Lago Zirahuen 98, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|11500|2|1.0|58|19.445192300000002|-99.1728766
  Minatitlan 54, San Jerónimo Aculco, La Magdalena Contreras, Distrito Federal (cdmx)|18500|2|2.0|122|19.3167615|-99.2271361
  Popocatepetl 435, 9, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19100|2|2.0|77|19.364987799999998|-99.1618347
  Departamento Graden En Renta En Lomas De Chapultepec Con 1 Recamara, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|26500|1|2.0|100|19.4194815|-99.1894558
  Jesus Del Monte 274, Jesús Del Monte, Cuajimalpa De Morelos|55000|3|2.0|360|19.3901493|-99.2922717
  Popocatepetl 435, 20, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|31500|3|3.0|94|19.364987799999998|-99.1618347
  Avenida Vasco De Quiroga 1635, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|5000|2|1.0|55|19.382186800000003|-99.2392743
  Yacatas 24, 6, Narvarte, Benito Juárez, Distrito Federal (cdmx)|16500|3|1.0|110|19.400962|-99.15480050000001
  Nellie Campobello 129, Carola, Álvaro Obregón, Distrito Federal (cdmx)|69858|2|1.0|72|19.383796399999998|-99.1971753
  Fernando Alencastre 240, Lomas De Chapultepec Iv Sección, Miguel Hidalgo, Distrito Federal (cdmx)|23000|2|2.0|130|19.421385100000002|-99.20413520000001
  Cumbres De Acultzingo 67, 108, Narvarte, Benito Juárez, Distrito Federal (cdmx)|9500|2|1.0|70|19.3923314|-99.1478421
  Vértiz 983, Col. Vértiz Narvarte, Benito Juárez, Distrito Federal (cdmx)|18500|2|2.0|108|19.385499600000003|-99.1522473
  Ave De Las Torres 805, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|18500|2|2.0|104|19.3342912|-99.23990500000001
  Pico De Verapaz 4, Jardines En La Montaña, Tlalpan, Distrito Federal (cdmx)|65000|3|4.0|400|19.2975321|-99.1964441
  Sierra Gorda 23, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|155240|4|4.0|400|19.4279636|-99.221941
  Sierra Gorda 23, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|174645|3|4.0|353|19.4279636|-99.221941
  Avenida Mexico Coyoacan 371, Xoco, Benito Juárez, Distrito Federal (cdmx)|22000|2|2.0|80|19.3613949|-99.163194
  Bosque De Radiatas 14, 2b, Bosques De Las Lomas, Miguel Hidalgo, Distrito Federal (cdmx)|38000|3|4.0|312|19.3886948|-99.2520349
  Citlaltépetl 54, 9, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|65000|2|3.0|220|19.4080605|-99.1717804
  Ruben Dario 100, Miguel Hidalgo, Distrito Federal (cdmx)|60000|3|2.0|200|19.4289326|-99.1846333
  Av. Popocatépetl 000, Xoco, Benito Juárez, Distrito Federal (cdmx)|20000|2|2.0|100|19.362775|-99.1634115
  Av. El Bordo 85 Col Ex Hacienda Tlalpan, Tlalpan, Distrito Federal (cdmx)|18000|2|2.0|88|19.3066704|-99.1381783
  Nicolas San Juan 279, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)|19500|2|2.0|112|19.3986044|-99.16078490000001
  Jesus Del Monte 34, Jesús Del Monte, Cuajimalpa De Morelos|17500|1|1.0|50|19.3954203|-99.2899251
  Guanajuato 44, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|23000|2|2.0|70|19.4173783|-99.1563673
  Mar Adriático 100, Popotla, Miguel Hidalgo, Distrito Federal (cdmx)|25000|2|2.0|130|19.452131899999998|-99.179995
  Av. Ejercito Nacional 769 Esquina Moliere, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|30000|2|2.0|105|19.439641|-99.1995083
  Aguascalientes 185, 5, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|25000|2|2.0|100|19.4077573|-99.1704832
  Encarnación Ortiz 1860, Azcapotzalco, Distrito Federal (cdmx)|18000|3|2.0|80|19.4714503|-99.1613575
  Encarnación Ortiz 1860, Azcapotzalco, Distrito Federal (cdmx)|13000|2|2.0|65|19.4714503|-99.1613575
  R.salido 166, Independencia, Benito Juárez, Distrito Federal (cdmx)|13950|2|2.0|75|19.3821537|-99.1503048
  Cleveland 6, Ciudad De Los Deportes, Benito Juárez, Distrito Federal (cdmx)|2800000|2|2.0|84|19.3813898|-99.18102490000001
  Amsterdam 1, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|38810|2|2.0|140|19.41535|-99.1669756
  Ph En Renta Amueblado De 2 Nivles Y Roof Garden En Bosques De Las Lomas, Bosques De Las Lomas, Cuajimalpa De Morelos|950845|3|3.0|380|19.390416199999997|-99.2550003
  Lago Neuchatel 12, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)|29000|2|3.0|126|19.442351600000002|-99.2013938
  Lago Alberto 320, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|36000|3|2.0|150|19.4404402|-99.18518409999999
  Guanajuato 66, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|22000|2|2.0|119|19.417109600000003|-99.1574963
  Atenas 3, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)|2600|1|1.0|22|19.2742435|-99.2281609
  Atenas 3, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)|2700|1|1.0|25|19.2742435|-99.2281609
  Atenas 3, Lomas De Padierna, Tlalpan, Distrito Federal (cdmx)|3600|2|1.0|42|19.2742435|-99.2281609
  Prolongación Paseo De La Reforma 260, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|24000|3|2.0|100|19.3742203|-99.2612165
  Bahía De Santa Barbara 0, 3, Veronica Anzures, Miguel Hidalgo, Distrito Federal (cdmx)|22000|2|2.0|93|19.436425399999997|-99.17486170000001
  Avenida De Los Poetas 100, Colonia Cuajimalpa, Cuajimalpa De Morelos|49000|3|4.0|318|19.3518443|-99.2592438
  General Mariano Escobedo 248, Miguel Hidalgo, Distrito Federal (cdmx)|25500|2|2.0|94|19.4423448|-99.1857166
  Prol. Paseo De La Reforma 1, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|22000|2|2.0|65|19.3804527|-99.2521306
  Adolfo Prieto 1033, Del Valle, Benito Juárez, Distrito Federal (cdmx)|34000|2|3.0|116|19.386347600000004|-99.1690951
  Adolfo Prieto 1033, Del Valle, Benito Juárez, Distrito Federal (cdmx)|30000|2|2.0|116|19.386347600000004|-99.1690951
