Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
  Minatitlan 54, San Jerónimo Aculco, La Magdalena Contreras, Distrito Federal (cdmx)|18500|2|2.0|122
  Popocatepetl 435, 9, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|19100|2|2.0|77
  Departamento Graden En Renta En Lomas De Chapultepec Con 1 Recamara, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|26500|1|2.0|100
  Jesus Del Monte 274, Jesús Del Monte, Cuajimalpa De Morelos|55000|3|2.0|360
  Popocatepetl 435, 20, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|31500|3|3.0|94
  Avenida Vasco De Quiroga 1635, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|5000|2|1.0|55
  Yacatas 24, 6, Narvarte, Benito Juárez, Distrito Federal (cdmx)|16500|3|1.0|110
  Nellie Campobello 129, Carola, Álvaro Obregón, Distrito Federal (cdmx)|69858|2|1.0|72
  Fernando Alencastre 240, Lomas De Chapultepec Iv Sección, Miguel Hidalgo, Distrito Federal (cdmx)|23000|2|2.0|130
  Cumbres De Acultzingo 67, 108, Narvarte, Benito Juárez, Distrito Federal (cdmx)|9500|2|1.0|70
  Vértiz 983, Col. Vértiz Narvarte, Benito Juárez, Distrito Federal (cdmx)|18500|2|2.0|108
  Ave De Las Torres 805, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|18500|2|2.0|104
  Pico De Verapaz 4, Jardines En La Montaña, Tlalpan, Distrito Federal (cdmx)|65000|3|4.0|400
  Sierra Gorda 23, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|155240|4|4.0|400
  Avenida Mexico Coyoacan 371, Xoco, Benito Juárez, Distrito Federal (cdmx)|22000|2|2.0|80
  Bosque De Radiatas 14, 2b, Bosques De Las Lomas, Miguel Hidalgo, Distrito Federal (cdmx)|38000|3|4.0|312
  Citlaltépetl 54, 9, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)|65000|2|3.0|220
