Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
"Departamento en Renta Andrea Del Castagno #79
, Mixcoac, Benito Juárez, Distrito Federal (cdmx)"|24,200 MX$|2|2|87m2
"Departamento en Renta Sur 109
, Iztacalco, Distrito Federal (cdmx)"|10,000 MX$|2|1|100m2
"Departamento en Renta Paseo De La Reforma #0
, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)"|90,000 MX$|1|2|120m2
"Departamento en Renta Lago Neuchatel #10
, Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|29,200 MX$|3|2|125m2
"Departamento en Renta Avenida San Miguel #40
, Xalpa, Ciudad De México"|8,500 MX$|2|2|100m2
"Departamento en Renta Uxmal #00
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|19,000 MX$|2|2|85m2
Departamento en Renta Calzada San Isidro 492 San Pedro Xalpa, Azcapotzalco, Cdmx, San Pedro Xalpa, Azcapotzalco, Distrito Federal (cdmx)|11,500 MX$|3|2|90m2
"Departamento en Renta Popocatepetl #00
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|19,000 MX$|2|2|86m2
"Departamento en Renta Lago Zurich #168, 0
, Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|26,000 MX$|2|2|100m2
"Departamento en Renta Sierra Gorda #23, Torre Encinos - G3
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|116,430 MX$|3|3|352m2
"Departamento en Renta Guanábana #10
, Nueva Santa Maria, Azcapotzalco, Distrito Federal (cdmx)"|10,500 MX$|2|1|75m2
"Departamento en Renta Calle10
, San Pedro De Los Pinos, Benito Juárez, Distrito Federal (cdmx)"|25,000 MX$|2|2|90m2
"Departamento en Renta Etla #10
, Colonia Condesa, Cuauhtémoc, Distrito Federal (cdmx)"|35,000 MX$|3|2|140m2
Departamento en Renta Avenida Centenario 2025, Distrito Federal (cdmx)|19,000 MX$|2|2|3,183m2
"Departamento en Renta Lago Zirahuen #98
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|11,500 MX$|2|1|58m2
Departamento en Renta Minatitlan 54, San Jerónimo Aculco, La Magdalena Contreras, Distrito Federal (cdmx)|18,500 MX$|2|2|122m2
"Departamento en Renta Popocatepetl #435, 9
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|19,100 MX$|2|2|77m2
"Departamento en Renta Departamento Graden En Renta En Lomas De Chapultepec Con 1 Recamara
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|26,500 MX$|1|2|100m2
"Departamento en Renta Jesus Del Monte #274
, Jesús Del Monte, Cuajimalpa De Morelos"|55,000 MX$|3|2|360m2
"Departamento en Renta Popocatepetl #435, 20
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|31,500 MX$|3|3|94m2
"Departamento en Renta Avenida Vasco De Quiroga #1635
, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)"|5,000 MX$|2|1|55m2
"Departamento en Renta Yacatas #24, 6
, Narvarte, Benito Juárez, Distrito Federal (cdmx)"|16,500 MX$|3|1|110m2
Departamento en Renta Nellie Campobello 129, Carola, Álvaro Obregón, Distrito Federal (cdmx)|69,858 MX$|2|1|72m2
